siteID, subjectID, sessionID, featureImage
054, 0284, 20715, "{'GadSG':'/hjohnson/HDNI/PREDICT_TRAINING/regina_ann/TrainingModels/AW_20120801.SubjectOrganized_Results/BAW_20120801.SubjectOrganized_Results/FeatureImages/GadSG/20715_average_GAD_SG.nii.gz'}"
024, 0644, 84123, "{'GadSG':'/hjohnson/HDNI/PREDICT_TRAINING/regina_ann/TrainingModels/AW_20120801.SubjectOrganized_Results/BAW_20120801.SubjectOrganized_Results/FeatureImages/GadSG/84123_average_GAD_SG.nii.gz'}"
